dataset	superfamily	superfamily_name	n_substrate	n_substrate_total	n_background	n_background_total	odds_ratio	ci_lower	ci_upper	pvalue	pvalue_bh	significant
groel	3.40.50.800	Anticodon-binding domain	1	247	3	663	0.8943089430894309	0.09258315767694009	8.638595893224108	1.0	1.0	False
groel	3.40.50.880		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.40.605.10	Aldehyde Dehydrogenase; Chain A, domain 1	2	247	5	663	1.0742857142857143	0.20706021544137118	5.573691659975822	1.0	1.0	False
groel	3.40.710.10	DD-peptidase/beta-lactamase superfamily	1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.60.10.10	Endonuclease/exonuclease/phosphatase	1	247	4	663	0.6697154471544715	0.07448654315234726	6.021473962618439	1.0	1.0	False
groel	3.60.15.10	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like	1	247	4	663	0.6697154471544715	0.07448654315234726	6.021473962618439	1.0	1.0	False
groel	3.90.1200.10		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
groel	3.90.180.10	Medium-chain alcohol dehydrogenases, catalytic domain	1	247	4	663	0.6697154471544715	0.07448654315234726	6.021473962618439	1.0	1.0	False
groel	3.90.20.20		1	247	2	663	1.3434959349593496	0.12127629186807981	14.883216657182205	1.0	1.0	False
hsp60	1.50.40.10	Mitochondrial carrier domain	3	241	48	663	0.16150210084033614	0.0498255227136305	0.523485297399735	0.00023442077148727288	0.027896071806985473	True
hsp60	3.30.230.10		5	241	0	663	inf	1.6998861239830565	560.254180416247	0.001305934723695611	0.07770311605988886	False
hsp60	3.90.226.10	2-enoyl-CoA Hydratase; Chain A, domain 1	10	241	6	663	4.740259740259741	1.7038809969484268	13.187577328094045	0.0025544260209341236	0.10132556549705357	False
hsp60	2.40.30.10	Translation factors	6	241	3	663	5.617021276595745	1.3936102586699406	22.639707066910834	0.01350145739797139	0.2117387558456003	False
hsp60	2.40.50.140	Nucleic acid-binding proteins	6	241	3	663	5.617021276595745	1.3936102586699406	22.639707066910834	0.01350145739797139	0.2117387558456003	False
hsp60	3.30.830.10	Metalloenzyme, LuxS/M16 peptidase-like	5	241	2	663	7.002118644067797	1.3493697127789024	36.335234918404815	0.0167714441470721	0.2117387558456003	False
hsp60	3.40.50.620	HUPs	9	241	7	663	3.6354679802955663	1.3387130412975208	9.872636650304363	0.017679751867481552	0.2117387558456003	False
hsp60	3.30.70.240		3	241	0	663	inf	1.0021379951152378	378.4196148589533	0.018774287619158232	0.2117387558456003	False
hsp60	3.30.70.870	Elongation Factor G (Translational Gtpase), domain 3	3	241	0	663	inf	1.0021379951152378	378.4196148589533	0.018774287619158232	0.2117387558456003	False
hsp60	3.30.980.10	Threonyl-trna Synthetase; Chain A, domain 2	3	241	0	663	inf	1.0021379951152378	378.4196148589533	0.018774287619158232	0.2117387558456003	False
hsp60	1.20.140.20	Alpha-ketoacid/pyruvate dehydrogenase kinase, N-terminal domain	4	241	1	663	11.172995780590718	1.2425135058563295	100.47040464728163	0.01957249003614793	0.2117387558456003	False
hsp60	3.40.50.970		5	241	3	663	4.661016949152542	1.1053404916686895	19.654648648119057	0.03508336994207318	0.33674213697231203	False
hsp60	3.40.50.150	Vaccinia Virus protein VP39	2	241	23	663	0.23285428415499362	0.05448157758724842	0.9952193025707307	0.036786956139832405	0.33674213697231203	False
hsp60	1.10.437.10		0	241	11	663	0.0	0.006895585466211019	2.0012435452933115	0.04286742880481345	0.3643731448409143	False
hsp60	3.30.565.10	Histidine kinase-like ATPase, C-terminal domain	4	241	2	663	5.578059071729958	1.015069174732661	30.652830154066677	0.04647451365532751	0.3686978083322649	False
