family	hypothesis	test_id	test	pvalue_raw	pvalue_within_family	effect_size	effect_name	pvalue_bh_within_family	family_bh	family_significant	significant_within_family	significant_overall
domain_architecture	H1.1/H1.2	hsp60_3.30.300.30	fisher_exact	0.30494319132399184	0.8293253158202416	0.30277777777777776	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.90.79.10	fisher_exact	0.30494319132399184	0.8293253158202416	0.30277777777777776	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.12780	fisher_exact	0.3050674363205508	0.8293253158202416	0.27208333333333334	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.720	fisher_exact	0.322800877299228	0.8293253158202416	1.3575757575757577	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.510.10	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.20.1050.10	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.25.10.10	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.160.10	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.200.20	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.420.10	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.530.20	fisher_exact	0.3325252262231943	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.50.50.60	fisher_exact	0.34970397121643443	0.8293253158202416	1.4832618025751072	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.630.10	fisher_exact	0.3505866301479065	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.20.1560.10	fisher_exact	0.3505866301479065	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.30.10	fisher_exact	0.3574032085094819	0.8293253158202416	1.5686961206896552	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.238.10	fisher_exact	0.37526313196647393	0.8293253158202416	0.45397489539748953	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.640.10	fisher_exact	0.3906704417279885	0.8293253158202416	1.6672340425531915	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.8.60	fisher_exact	0.3914439554256932	0.8293253158202416	2.0766806722689077	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.47.10	fisher_exact	0.4457591133131976	0.8293253158202416	1.6588235294117648	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.559.10	fisher_exact	0.4703910394464562	0.8293253158202416	1.8481012658227849	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.50.100	fisher_exact	0.49613352746471034	0.8293253158202416	1.5816757082579866	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.10.140	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.1670.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.287.1130	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.340.30	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.533.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.20.20.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.30.30.140	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.30.42.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.10.180.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.1050.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.1600.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.30.420.40	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_3.40.50.1460	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_4.10.640.10	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_6.10.250.1760	fisher_exact	0.569029943423606	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.1200.10	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.10.600.10	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.20.5.110	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_1.25.70.10	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.30.110	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
domain_architecture	H1.1/H1.2	hsp60_2.40.50.90	fisher_exact	0.578436984983866	0.8293253158202416	0.0	odds_ratio	0.8653322976598129	2.818884630105482e-08	True	False	False
