uniprot_id	gene_symbol	protein_name	mitocarta_score	sub_mito_localization	pathways	is_matrix	is_im	is_ims	is_om
Q9NP58	ABCB6	ATP binding cassette subfamily B member 6 (Langereis blood group)	12.7169	MOM	Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters	0	0	0	1
Q9BQ69	MACROD1	mono-ADP ribosylhydrolase 1	12.6904	Matrix	Signaling	1	0	0	0
Q16762	TST	thiosulfate sulfurtransferase	12.6585	Matrix	Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism	1	0	0	0
P00395	MT-CO1	cytochrome c oxidase subunit I	12.6275	MIM	OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits	0	1	0	0
Q9H019	MTFR1L	mitochondrial fission regulator 1 like	12.5802	unknown	0	0	0	0	0
Q9NRG7	SDR39U1	short chain dehydrogenase/reductase family 39U member 1	12.5742	unknown	0	0	0	0	0
Q9UI17	DMGDH	dimethylglycine dehydrogenase	12.558	Matrix	Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
O95258	SLC25A14	solute carrier family 25 member 14	12.5484	MIM	Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family	0	1	0	0
Q96N28	PRELID3A	PRELI domain containing 3A	12.5484	IMS	Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism	0	0	1	0
Q9BSY4	CHCHD5	coiled-coil-helix-coiled-coil-helix domain containing 5	12.309	IMS	0	0	0	1	0
O94826	TOMM70	translocase of outer mitochondrial membrane 70	12.3028	MOM	Protein import, sorting and homeostasis > Protein import and sorting > TOM	0	0	0	1
Q86X76	NIT1	nitrilase 1	12.2585	Matrix	Metabolism > Detoxification > ROS and glutathione metabolism	1	0	0	0
Q6P587	FAHD1	fumarylacetoacetate hydrolase domain containing 1	12.2255	Matrix	Metabolism > Carbohydrate metabolism > TCA-associated	1	0	0	0
Q8NE86	MCU	mitochondrial calcium uniporter	12.1476	MIM	Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter	0	1	0	0
Q02318	CYP27A1	cytochrome P450 family 27 subfamily A member 1	12.0912	MIM	Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins	0	1	0	0
P03891	MT-ND2	MTND2	12.0861	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	0	1	0	0
P03905	MT-ND4	NADH dehydrogenase, subunit 4 (complex I)	12.0861	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	0	1	0	0
P03915	MT-ND5	NADH dehydrogenase, subunit 5 (complex I)	12.0861	MIM	OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits	0	1	0	0
Q14154	DELE1	DAP3 binding cell death enhancer 1	12.0574	MIM	Signaling	0	1	0	0
Q53R41	FASTKD1	FAST kinase domains 1	12.021	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay	1	0	0	0
Q92665	MRPS31	mitochondrial ribosomal protein S31	11.9827	Matrix	Mitochondrial central dogma > Translation > Mitochondrial ribosome	1	0	0	0
O75891	ALDH1L1	aldehyde dehydrogenase 1 family member L1	11.9576	Matrix	Metabolism > Vitamin metabolism > Folate and 1-C metabolism	1	0	0	0
O75127	PTCD1	pentatricopeptide repeat domain 1	11.8591	Matrix	Mitochondrial central dogma > mtRNA metabolism > mtRNA granules	1	0	0	0
P55084	HADHB	hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit beta	11.8128	MIM	Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism	0	1	0	0
Q9H3H1	TRIT1	tRNA isopentenyltransferase 1	11.7935	Matrix	Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications	1	0	0	0
Q9UJA2	CRLS1	cardiolipin synthase 1	11.7412	MIM	Metabolism > Lipid metabolism > Cardiolipin synthesis	0	1	0	0
