family	hypothesis	test	n1	n2	statistic	p_value	p_bh_within	effect_size	ci_low	ci_high	direction	sig_within_family	family_significant	significant_overall
stability_asymmetry	H2.4_HSP60_vs_matrix_bg_frac_coil	Mann-Whitney U (DSSP)	266	338	38435.0	0.002200895922822	0.0049520158263495	0.1450149041242159			bg_higher	True	True	True
stability_asymmetry	H2.1_groel_mean_plddt	Wilcoxon signed-rank	139	139	3539.0	0.0053052563524617	0.0112346605110955	0.2725590955806783			N>C	True	True	True
stability_asymmetry	H2.1_mito_bg_frac_strand	Wilcoxon signed-rank	472	472	40494.5	0.006696451855715	0.0132055358832408	0.1498645896752251			N>C	True	True	True
stability_asymmetry	H2.1_matrix_bg_frac_hydrophobic	Wilcoxon signed-rank	282	282	16253.0	0.0069695883828215	0.0132055358832408	0.1853745332431145			N>C	True	True	True
stability_asymmetry	H2.1_groel_frac_hydrophobic	Wilcoxon signed-rank	139	139	3827.0	0.0290817949390125	0.0523472308902225	0.213360739979445			N>C	False	True	False
stability_asymmetry	H2.2_GroEL_vs_ecoli_bg_relative_contact_order	Mann-Whitney U	124	1844	102727.0	0.0582405259877242	0.0998409016932414	0.1014712056539081			bg_higher	False	True	False
stability_asymmetry	H2.1_hsp60_frac_plddt_gt70	Wilcoxon signed-rank	142	142	2519.5	0.0613354209695191	0.1003670524955767	0.2036978508217446			C>N	False	True	False
stability_asymmetry	H2.4_HSP60_vs_matrix_bg_frac_strand	Mann-Whitney U (DSSP)	266	338	41079.0	0.0687511846420229	0.1076105498744707	0.0861992258753392			bg_higher	False	True	False
stability_asymmetry	H2.2_HSP60_vs_mito_bg_mean_plddt	Mann-Whitney U	142	472	30496.5	0.1037860845883378	0.1556791268825068	0.08998269276677			bg_higher	False	True	False
stability_asymmetry	H2.1_hsp60_mean_plddt	Wilcoxon signed-rank	142	142	4310.0	0.1185404956510778	0.1706983137375521	0.1509898552152073			N>C	False	True	False
stability_asymmetry	H2.1_mito_bg_frac_helix	Wilcoxon signed-rank	472	472	51360.0	0.1330359970660332	0.1842036882452768	0.0798007668326943			N>C	False	True	False
stability_asymmetry	H2.1_groel_frac_strand	Wilcoxon signed-rank	139	139	4253.0	0.2489218553689517	0.3318958071586023	0.1131268897925138			N>C	False	True	False
stability_asymmetry	H2.1_matrix_bg_frac_strand	Wilcoxon signed-rank	282	282	17524.0	0.3170787917304901	0.3913872885597941	0.0697279362972793			N>C	False	True	False
stability_asymmetry	H2.1_matrix_bg_frac_helix	Wilcoxon signed-rank	282	282	18603.0	0.3252052172166582	0.3913872885597941	0.0675889030899932			N>C	False	True	False
stability_asymmetry	H2.1_hsp60_frac_strand	Wilcoxon signed-rank	142	142	4333.5	0.3261560737998284	0.3913872885597941	0.0963403190491085			N>C	False	True	False
stability_asymmetry	H2.1_groel_frac_helix	Wilcoxon signed-rank	139	139	4476.0	0.4134341921865656	0.4801171264102052	-0.0799588900308324			C>N	False	True	False
stability_asymmetry	H2.2_GroEL_vs_ecoli_bg_mean_plddt	Mann-Whitney U	139	2034	135920.0	0.4469796271911174	0.5028520805900071	0.0385037103060914			bg_higher	False	True	False
stability_asymmetry	H2.2_HSP60_vs_mito_bg_relative_contact_order	Mann-Whitney U	131	425	26843.0	0.5363578778808642	0.5851176849609427	0.0357251908396946			bg_higher	False	True	False
stability_asymmetry	H2.1_hsp60_frac_helix	Wilcoxon signed-rank	142	142	4817.0	0.5971832761557646	0.6323117041649272	0.0511178961883187			N>C	False	True	False
stability_asymmetry	H2.3_GroEL_class_relative_contact_order	Kruskal-Wallis	121	3	0.5234154772424517	0.7697359549280998	0.7917284107831883	-0.0125134281589622			class_effect	False	True	False
stability_asymmetry	H2.3_GroEL_class_mean_plddt	Kruskal-Wallis	136	3	0.1663659313207404	0.9201827699687984	0.9201827699687984	-0.0137867223208966			class_effect	False	True	False
